h3id_9,BC,NO,NO$_2$
8928308110bffff,0.78213537,15.620544,18.19578
89283081143ffff,0.5194249,5.1310477,13.409148
892830811cfffff,0.38685462,6.739257,12.945893
892830810a3ffff,0.49098212,6.279408,13.661801
89283098387ffff,0.41701278,4.719701,8.7581005
89283098edbffff,0.32202077,5.5505433,10.128897
892830812abffff,0.54233235,10.94661,16.236128
89283099c03ffff,0.8073783,27.74744,19.182707
8928309814bffff,0.4637527,6.753743,10.966127
89283081317ffff,0.5409687,12.45994,17.904604
89283081387ffff,0.31211513,3.913349,10.22216
89283098e8bffff,0.6931867,13.844059,14.357622
89283099d03ffff,0.38159668,9.254528,9.838961
89283081027ffff,0.475041,7.9821405,13.127075
89283099db3ffff,0.38584316,9.964895,13.157097
89283098e57ffff,0.33199036,3.381027,8.206125
89283098037ffff,0.3799012,3.3758497,8.267014
89283099cb3ffff,0.258152,3.5839586,6.2050686
892830981c3ffff,0.75351435,24.639967,19.049812
89283098347ffff,0.25439078,5.2287893,10.441477
89283081303ffff,0.35536852,5.746721,10.574315
89283081183ffff,0.5718846,7.9275465,16.318539
8928308119bffff,0.39618564,4.575421,12.289811
8928308152fffff,2.5465157,67.40451,37.450462
8928309830bffff,0.19083276,4.802327,6.483397
8928309832bffff,0.23228797,4.621465,9.960475
8928309832fffff,0.3089017,5.4440937,11.181733
892830983d7ffff,0.34817377,7.284129,8.959834
89283098567ffff,0.43543229,6.514268,11.51731
892830813a3ffff,0.67607355,16.026617,20.94444
892830810a7ffff,0.48908868,5.938196,11.541585
89283098323ffff,0.2981031,5.4367127,8.863566
89283099d97ffff,0.19055653,1.9241807,5.642469
89283081117ffff,1.2100155,20.377838,23.146767
8928308130fffff,0.44649208,5.5332446,13.644069
89283099d7bffff,0.37161595,15.010024,14.085418
89283081023ffff,0.39570206,6.2972107,12.918871
8928309834fffff,0.35897353,4.4742384,8.072229
89283081197ffff,1.6455426,32.531857,28.05561
892830983bbffff,0.27947038,2.939722,6.8833942
89283099dcbffff,0.24878955,5.1713963,8.190429
89283098153ffff,0.40143487,3.5631673,9.141819
