h3id_9,BC,NO,NO$_2$
89c2f156b4fffff,0.84821916,20.041956,16.419594
89c2f119067ffff,0.5637292,8.277165,12.908744
89c2f15558fffff,1.0422914,32.400597,25.016527
89c2f119b87ffff,0.7046489,36.53595,22.933672
89c2f154147ffff,0.7434796,24.80754,19.220276
89c2f1ccbd3ffff,0.75683767,28.297865,20.389246
89c2f15692fffff,0.4500497,6.8307743,9.3805275
89c2f1cca3bffff,0.8595996,21.775122,18.056784
89c2f119307ffff,0.6630326,6.722342,12.94968
89c2f11824fffff,0.34446508,3.7485952,9.131133
89c2f1568b7ffff,0.7650769,20.883549,19.122555
89c2f157613ffff,0.49723148,7.8559756,9.79115
89c2f1cddbbffff,0.7687025,22.54411,17.684708
89c2f1562b3ffff,0.8595822,22.53173,15.760191
89c2f157413ffff,0.7348307,24.233046,19.088951
89c2f15762bffff,0.57119066,5.6229444,10.840331
89c2f1565c3ffff,0.84059507,21.159391,17.700136
89c2f156c17ffff,0.3450331,6.7574444,11.426451
89c2f1566b3ffff,0.57225645,6.973015,11.181158
89c2f1cdb67ffff,0.8395185,21.335112,19.686905
89c2f157567ffff,0.4079927,4.5193734,10.196042
89c2f154007ffff,0.6895745,4.378993,9.351931
89c2f119257ffff,0.38991883,4.57276,9.48647
89c2f15611bffff,0.45404044,6.122606,11.660082
89c2f1cd997ffff,0.9644491,20.221453,17.944712
89c2f1cce63ffff,0.876104,22.713455,19.669142
89c2f1562c7ffff,0.47608912,3.4172301,10.87567
89c2f15630bffff,0.50650007,8.422982,13.440905
89c2f157163ffff,0.372983,4.198635,6.3987355
89c2f1ccacfffff,0.69535947,7.191319,11.426152
89c2f155a9bffff,0.9415099,26.099926,18.43229
89c2f1565b3ffff,0.96805364,24.21846,19.576426
89c2f1086a3ffff,1.3980622,41.84876,21.21792
89c2f10b0afffff,0.7663313,4.5528874,9.897524
89c2f10b087ffff,0.5692722,7.033044,12.055745
89c2f119a73ffff,0.69220734,35.49137,21.584654
89c2f1192d3ffff,0.8447279,25.84516,18.312271
89c2f155117ffff,0.45614552,5.1267147,9.294695
89c2f119e1bffff,0.5377923,3.338425,10.779929
89c2f11ab2fffff,1.4401968,43.908863,25.443739
89c2f156153ffff,0.9899361,23.538767,17.539444
89c2f1085c7ffff,2.0842314,64.70181,28.357122
89c2f156657ffff,0.41653836,4.7896256,8.924916
89c2f156e93ffff,0.38972127,5.843063,9.371937
89c2f1465a3ffff,0.8795843,38.74612,23.19861
89c2f157423ffff,0.52529377,4.7625875,11.4044485
89c2f154173ffff,0.5796343,18.250345,15.625444
89c2f15635bffff,1.0491569,23.893623,20.189087
89c2f156acfffff,0.6798923,4.4159136,8.966452
89c2f154e47ffff,0.93783206,37.64064,23.662388
89c2f155c77ffff,0.87954235,4.1103187,12.923824
89c2f154187ffff,0.77696913,20.869123,16.58106
89c2f1576b7ffff,0.96983635,22.540533,16.784683
89c2f15668fffff,0.41977265,7.796074,14.051645
89c2f1cdbafffff,0.53470445,10.390679,11.375957
89c2f15628bffff,0.44309586,7.817712,12.2648735
89c2f1541a7ffff,0.75569123,23.619883,19.420822
89c2f1cc98bffff,0.72233903,23.204903,16.406073
89c2f1540b7ffff,0.7874917,21.463226,16.570972
89c2f157497ffff,0.7141924,19.920744,16.90741
89c2f1cca2bffff,0.9232545,22.189394,18.512335
89c2f1cc833ffff,0.72310185,22.326471,16.507212
89c2f1565b7ffff,0.8518189,22.2579,18.222988
89c2f1574a3ffff,0.44008648,7.2131987,9.88137
89c2f157133ffff,0.78872025,19.145676,18.972057
89c2f157577ffff,0.65760916,8.128283,12.076867
89c2f1575b3ffff,0.7750462,6.410331,10.367632
89c2f15682bffff,0.74999434,23.286674,16.715193
89c2f1564c3ffff,0.3502928,6.212021,9.546927
89c2f15708bffff,1.0890411,21.820093,19.325022
89c2f11928bffff,0.9007195,23.460072,16.827593
89c2f156503ffff,0.80750465,32.129665,21.4604
89c2f1540b3ffff,0.7481967,31.671167,23.25736
89c2f156cabffff,0.5040589,4.899419,10.427072
89c2f119883ffff,0.78746575,19.52374,19.35611
89c2f1cd90bffff,0.9244672,22.437727,17.866138
89c2f1199cbffff,0.9950974,34.836826,22.55275
89c2f1cc8a3ffff,0.8797476,2.8447528,10.096746
89c2f1cdd17ffff,0.6914114,22.178833,18.337046
89c2f154e0bffff,0.745835,31.60539,21.134249
89c2f150d97ffff,0.7430961,4.2249336,11.046376
89c2f11906fffff,0.42112458,4.61892,9.531424
89c2f118663ffff,0.4234668,7.9942846,10.962354
89c2f11820fffff,0.44623506,3.8517516,8.187561
89c2f15617bffff,0.8083546,37.78456,24.46563
89c2f15609bffff,0.4436851,6.9248614,11.054433
89c2f15466fffff,0.4913136,4.2115507,7.779953
89c2f1cd957ffff,0.97851604,23.581413,18.294334
89c2f1560a7ffff,0.79388404,19.307299,18.137144
89c2f154467ffff,0.94319206,34.2872,21.691814
89c2f156e2bffff,0.7051357,35.891476,23.97155
89c2f15718bffff,0.89221543,21.005436,20.130087
89c2f10a237ffff,0.8591757,36.5467,23.072964
89c2f10a24bffff,1.4312619,43.017517,23.5836
89c2f15698fffff,0.93065846,34.2872,23.24671
89c2f1cd933ffff,0.5669842,9.200535,11.522317
89c2f156a57ffff,0.40586388,5.105325,8.835663
89c2f154d97ffff,2.1194737,64.277374,29.508173
89c2f1563a7ffff,0.7857467,5.843063,9.369222
89c2f157283ffff,0.6898659,38.145184,25.283104
89c2f11857bffff,0.88140905,37.695126,23.69749
89c2f150d43ffff,0.8016343,35.231426,22.380816
89c2f15610bffff,0.36511382,3.35596,7.836761
89c2f119377ffff,0.55620855,6.1117477,11.207457
89c2f118b2fffff,1.2250204,43.35924,26.255493
89c2f1ccb63ffff,0.51122713,8.812143,10.959566
89c2f10b217ffff,0.9266211,39.76985,26.94948
89c2f15687bffff,0.832778,7.843357,9.119181
89c2f15425bffff,0.9999919,4.4246244,12.594487
89c2f156d8fffff,0.33502707,4.7723746,9.550445
89c2f154237ffff,0.9866692,33.70223,23.3645
89c2f155147ffff,0.7486535,17.596369,13.530597
89c2f157657ffff,0.5048621,7.7929177,10.582604
89c2f10300fffff,1.2918026,43.908863,25.443739
89c2f10b053ffff,0.87527126,5.1021094,11.082214
89c2f156403ffff,0.7589318,21.677954,16.832518
89c2f156493ffff,0.5902342,6.5537796,11.482036
89c2f155c33ffff,0.87954235,4.1103187,12.923824
89c2f157433ffff,0.7913977,23.722723,17.943007
89c2f156d6bffff,0.43354356,5.0285525,8.678013
89c2f11933bffff,0.7480317,21.797379,21.074558
89c2f1cca0fffff,1.0289853,19.614607,17.745712
89c2f15405bffff,0.7358868,35.909676,23.986313
89c2f154547ffff,0.8042073,31.454912,19.7484
89c2f1564b3ffff,1.0323668,21.02754,18.205944
89c2f1cd9d7ffff,0.8837248,21.389881,19.490343
