h3id_9,BC,BC_diff,NO,NO_diff,NO$_2$,NO$_2$_diff
8928308110bffff,0.78213537,-0.01656534495650641,15.620544,0.8176191285937495,18.19578,-0.06519559458496005
89283081143ffff,0.5194249,-0.040535935586279326,5.1310477,-3.247296240822509,13.409148,-2.526139833752442
892830811cfffff,0.38685462,0.012913008687765515,6.739257,1.3466525418256827,12.945893,1.3925533976586912
892830810a3ffff,0.49098212,0.0024150808687072867,6.279408,-1.9933195499421377,13.661801,-0.10357824180419861
89283098387ffff,0.41701278,-0.00842502349523011,4.719701,-2.000298897706543,8.7581005,-1.6331598603564448
89283098edbffff,0.32202077,0.01565347051926269,5.5505433,0.979114519258057,10.128897,1.023377232256836
892830812abffff,0.54233235,0.01576338730773319,10.94661,1.196610365744629,16.236128,0.6731273333935555
89283099c03ffff,0.8073783,0.036188166483740236,27.74744,6.270315728134765,19.182707,0.49831217288574337
8928309814bffff,0.4637527,-0.01646558287261357,6.753743,-1.5471400593081057,10.966127,0.3173769506298818
89283081317ffff,0.5409687,-0.01159257405543812,12.45994,-0.25383979833496184,17.904604,-0.2744915418701197
89283081387ffff,0.31211513,0.025591619008685285,3.913349,0.3289331581927488,10.22216,-0.951743160644531
89283098e8bffff,0.6931867,-0.03563195465591429,13.844059,-0.6858553395214848,14.357622,-0.4120285833935551
89283099d03ffff,0.38159668,0.012981137055871561,9.254528,-0.7926414873457048,9.838961,0.7465979500830073
89283081027ffff,0.475041,-0.048604469664858985,7.9821405,0.33508156007666035,13.127075,-1.5059590946874994
89283099db3ffff,0.38584316,0.0156161324682495,9.964895,-1.389666241586914,13.157097,0.822652602792969
89283098e57ffff,0.33199036,-0.010836423486315916,3.381027,-1.4189732447388916,8.206125,-0.4515706766005856
89283098037ffff,0.3799012,-0.009546281317086791,3.3758497,-1.058594757184082,8.267014,-0.9598634526953127
89283099cb3ffff,0.258152,0.03594835265664062,3.5839586,2.371837355793457,6.2050686,0.5668127372568357
892830981c3ffff,0.75351435,-0.010582865039398204,24.639967,11.47330047972168,19.049812,4.580562351894532
89283098347ffff,0.25439078,0.03779336635737915,5.2287893,1.0924255655288082,10.441477,1.8991626548994134
89283081303ffff,0.35536852,-0.005250351310189805,5.746721,0.5467207458630368,10.574315,-0.9708762288940438
89283081183ffff,0.5718846,-0.009288816244049092,7.9275465,-1.052453344340332,16.318539,-2.3462613392285157
8928308119bffff,0.39618564,-0.015623371229614269,4.575421,-1.0245794095241703,12.289811,0.44996879933837874
8928308152fffff,2.5465157,-0.024423360798706106,67.40451,-6.515486321953119,37.450462,-3.057671098691408
8928309830bffff,0.19083276,0.07765990411029358,4.802327,2.8023270610668947,6.483397,0.08951234798852692
8928309832bffff,0.23228797,0.030426133565512076,4.621465,1.9547984131462401,9.960475,2.729544761956543
8928309832fffff,0.3089017,0.030352942747232048,5.4440937,-0.18458865177636685,11.181733,1.231597324908691
892830983d7ffff,0.34817377,-0.0004820167717376478,7.284129,1.7324048337612306,8.959834,1.4863340858159182
89283098567ffff,0.43543229,-0.008849193829580715,6.514268,-4.769065638552247,11.51731,0.017758352517089904
892830813a3ffff,0.67607355,0.010423355177978544,16.026617,0.7967317701708989,20.94444,0.07928390167480615
892830810a7ffff,0.48908868,-0.0361594938795502,5.938196,-1.0618040337490235,11.541585,-1.7717807314331058
89283098323ffff,0.2981031,0.004806165050952105,5.4367127,0.03270535535180663,8.863566,0.41856648512060524
89283099d97ffff,0.19055653,0.04457203498408205,1.9241807,0.3101455820784913,5.642469,0.09555805429077147
89283081117ffff,1.2100155,-0.025408972145385622,20.377838,-6.178980805234374,23.146767,-3.505232962402342
8928308130fffff,0.44649208,-0.000181082229894991,5.5332446,0.2106637528327635,13.644069,-1.0979614970434568
89283099d7bffff,0.37161595,0.014455975542877142,15.010024,1.944988930739747,14.085418,3.356246397497559
89283081023ffff,0.39570206,0.013395240987323032,6.2972107,1.5881196513593752,12.918871,-0.027243924096680416
8928309834fffff,0.35897353,0.0035960839151153445,4.4742384,1.565147348690918,8.072229,2.047031762875976
89283081197ffff,1.6455426,-0.10093077238745107,32.531857,-14.468141853134767,28.05561,-3.695458503261719
892830983bbffff,0.27947038,-0.004842986079058864,2.939722,-0.1094843193427737,6.8833942,0.6490497398330071
89283099dcbffff,0.24878955,0.030669750473901358,5.1713963,4.221396210393164,8.190429,3.8879286048256834
89283098153ffff,0.40143487,-0.0405209455758575,3.5631673,-1.1924716943970957,9.141819,0.8150691987441405
892830981dbffff,1.8653337,-0.0924897826618043,50.101696,-31.7986240955957,30.824492,-10.788831459145506
8928308100bffff,0.5954379,-0.008398586219250492,10.897812,-0.3629549453515626,17.678562,-0.28822255069335867
8928308104fffff,0.4985179,-0.010625478994662485,10.666413,1.524860607189943,16.566471,1.6398076298535162
8928309818bffff,0.5458529,-0.0017390862486084124,8.279672,-3.6633815409936528,11.267858,-0.4282309784252938
8928308109bffff,0.9235164,0.024902135107824686,27.00674,3.6100528000683596,25.021812,0.39713502896484343
89283098327ffff,0.29003823,0.03247463983497312,5.068376,2.331533829300537,8.65628,1.7472796439038083
8928308138bffff,0.25900394,-0.002376772955584694,5.090745,1.6240781412290035,11.490172,0.06617223616943413
89283099dc7ffff,0.30323276,-0.007582494712710552,5.188999,2.7288497150253908,9.720688,0.7205662342109367
892830983cfffff,0.2144418,0.030504196577957166,2.7785065,1.5810751584102785,5.836443,0.0716263533876953
892830981cbffff,0.3347689,-0.016494126865466308,3.6753483,-0.32465190813964817,8.344246,-1.0131766003554699
8928308103bffff,0.38304222,-0.049303485349035614,4.50914,-1.9273507248515624,10.49235,-3.6531299653662117
8928309816bffff,0.45559284,-0.008155925690042087,6.9039874,-0.09601280831567394,11.247173,-0.19714092067382794
89283081093ffff,0.51147664,0.006133228532922308,7.566287,0.4858269347104489,14.661607,0.10960673863525372
892830981cfffff,0.70789677,-0.0035354606532165267,19.548512,-2.033357184873047,17.529036,-0.9022970167626951
89283099d87ffff,0.23486072,0.021703359100274655,4.289502,2.3535163928598632,9.033044,2.0312529388891605
89283081153ffff,0.52380455,-0.010849546997473203,8.837934,1.4428355523442384,14.390526,-0.7384002721289065
89283098367ffff,0.23037487,0.021695101784478754,3.2825763,1.7825763095555418,7.1208467,-0.5821651616479491
89283081013ffff,0.5336347,-0.0012786595171814241,10.95141,-0.20243560642089875,17.120205,-0.8395491194628875
89283081083ffff,0.8568523,0.0047939260145263285,23.735647,-1.3435849584619142,23.877499,-1.1477332632910162
8928309818fffff,0.38186422,0.007515437653945911,6.6849713,-0.3705844999499508,10.828377,0.4267514950195306
8928309836fffff,0.32242286,0.019129360052917488,4.7928786,1.8837875807770996,7.8607244,-0.1520753858422843
8928309837bffff,0.24545619,0.02644388241716003,6.309573,2.3864961985229494,8.884856,2.4968834570600578
892830811d7ffff,0.36779583,-0.0017546720454223452,5.195685,0.661374630820557,11.297476,0.3409435848193354
8928308118fffff,0.51932424,-0.02652190193130488,5.5062985,-1.4815063299772957,13.868419,-1.710260696457519
89283099d8bffff,0.30108672,-0.0027923843955261485,4.6175537,1.6536981489375,8.782694,-0.5266470770849612
89283081053ffff,0.49447843,-2.405857573545278e-05,7.317452,-0.3189117491120603,15.612872,0.07113559371826206
8928309833bffff,0.27632982,0.05653257428772582,7.185175,2.9492945070166012,9.996874,1.0865018205908203
8928309834bffff,0.2883656,0.01808389404328614,5.0742097,2.230926083093994,9.040353,1.1022440858500975
89283098353ffff,0.24925998,0.014767135832791128,3.45117,0.6533408506513672,6.6803217,-0.4795966625795902
89283098e5bffff,0.18336436,0.026696941924581913,6.120065,3.8252015272497557,8.562403,2.613402843219726
89283098ed3ffff,0.5863556,-0.012110120716900652,8.4174795,-4.529889014924317,12.507399,-0.7442907346533207
8928308114fffff,0.5167189,-0.00789372620443718,7.579552,0.2938378246145019,13.309272,-1.0889743575610353
89283099cbbffff,0.3293029,0.05183960339005128,2.4561052,0.6379233982387695,7.4364576,0.552853162972168
8928309830fffff,0.2562949,0.0797453718393738,4.8943043,2.167031524512695,9.5493355,2.3669248622363277
89283099d93ffff,0.20878392,0.013551579479620351,4.967939,2.1107959069938964,8.93976,0.9536888601298834
89283098103ffff,0.29813302,0.004044486232629374,3.8278065,0.9706637387783204,7.0632358,1.2462357287351074
