,h3id_9,no_med,y - y_estimated
0,89283081197ffff,32.739181619105224,32.739181619105224
1,8928308152fffff,48.244396399438074,48.244396399438074
2,8928309832bffff,-7.19408762296962,-7.19408762296962
3,892830810bbffff,-0.538666910424805,-0.538666910424805
4,89283081113ffff,-1.4057601046794623,-1.4057601046794623
5,89283081477ffff,-5.280782866589297,-5.280782866589297
6,89283099c23ffff,-4.380726728946918,-4.380726728946918
7,89283098327ffff,-5.153611650967826,-5.153611650967826
8,89283098e13ffff,1.2003586108315503,1.2003586108315503
9,89283098ecfffff,-6.420101421702611,-6.420101421702611
10,892830811d3ffff,-3.8174719917073494,-3.8174719917073494
11,89283098107ffff,1.0467717596993484,1.0467717596993484
12,8928309836bffff,-2.1644730346974588,-2.1644730346974588
13,89283099c87ffff,-3.089335300286729,-3.089335300286729
14,8928308146fffff,13.400220291250168,13.400220291250168
15,89283081ed3ffff,-8.44661625153624,-8.44661625153624
16,89283098e4bffff,-8.134523717189442,-8.134523717189442
17,8928308152bffff,44.0650927128674,44.0650927128674
18,89283098e8bffff,3.256985583749305,3.256985583749305
19,89283081233ffff,15.61846254537749,15.61846254537749
20,892830813dbffff,0.7954412360420324,0.7954412360420324
21,89283081303ffff,1.5380870107494191,1.5380870107494191
22,89283081edbffff,-1.385351897161204,-1.385351897161204
23,8928309830bffff,-8.654491632553867,-8.654491632553867
24,89283099c33ffff,-7.274893926059116,-7.274893926059116
25,89283099ca3ffff,-6.134457668130972,-6.134457668130972
26,892830813d7ffff,-1.1937646490569644,-1.1937646490569644
27,89283098163ffff,-0.7073080556147726,-0.7073080556147726
28,89283099c97ffff,-7.884859819396745,-7.884859819396745
29,8928309810fffff,25.923393008537104,25.923393008537104
30,892830813b7ffff,-1.774006355003337,-1.774006355003337
31,89283098197ffff,-4.855537061485082,-4.855537061485082
32,89283099cb7ffff,-3.83753166861318,-3.83753166861318
33,892830810a3ffff,-0.1916927543947775,-0.1916927543947775
34,8928308111bffff,-4.906550725150385,-4.906550725150385
35,89283098223ffff,-4.560835118181553,-4.560835118181553
36,89283098343ffff,1.849974875287388,1.849974875287388
37,89283098363ffff,-3.218976757317991,-3.218976757317991
38,89283081037ffff,-5.844896747369569,-5.844896747369569
39,892830811cfffff,-3.716148464732533,-3.716148464732533
40,892830813d3ffff,0.780828750942911,0.780828750942911
41,89283098373ffff,-3.6677643755069047,-3.6677643755069047
42,89283098ecbffff,-3.675770750204548,-3.675770750204548
43,89283099c07ffff,-5.2675670372200205,-5.2675670372200205
44,892830810abffff,2.2799415108466317,2.2799415108466317
45,892830812a3ffff,-8.324644844331528,-8.324644844331528
46,89283098167ffff,2.530281974076999,2.530281974076999
47,89283099d4fffff,25.650612502538213,25.650612502538213
48,89283081033ffff,-4.2000457434201035,-4.2000457434201035
49,89283081383ffff,-3.812370890677161,-3.812370890677161
50,892830981bbffff,-1.4057318761031468,-1.4057318761031468
51,89283098e1bffff,-2.063635598365516,-2.063635598365516
52,89283081393ffff,-2.9623588742340488,-2.9623588742340488
53,892830813bbffff,-0.6574425696123303,-0.6574425696123303
54,89283081073ffff,1.1646644294095214,1.1646644294095214
55,8928309813bffff,0.46931309120068754,0.46931309120068754
56,892830981c7ffff,0.4404460815761748,0.4404460815761748
57,89283081077ffff,7.758496530555597,7.758496530555597
58,892830810cfffff,-8.315357544012407,-8.315357544012407
59,8928308156bffff,-0.5430894816220295,-0.5430894816220295
60,89283098027ffff,-9.61182184299945,-9.61182184299945
61,89283081173ffff,6.4412163985230535,6.4412163985230535
62,892830811bbffff,16.40463374943679,16.40463374943679
63,892830813a3ffff,6.911588592702486,6.911588592702486
64,8928309832fffff,-0.34601457025389326,-0.34601457025389326
65,892830983b3ffff,-9.60074191232486,-9.60074191232486
66,89283081053ffff,-3.529575536213451,-3.529575536213451
67,8928308130fffff,-6.117685728471576,-6.117685728471576
68,8928309834bffff,-1.8298370670571638,-1.8298370670571638
69,89283098353ffff,-2.3219646939285843,-2.3219646939285843
70,89283098e5bffff,-9.860059195795998,-9.860059195795998
71,89283099dcbffff,-9.209088422179,-9.209088422179
72,89283081097ffff,-5.134314942308457,-5.134314942308457
73,8928308110bffff,2.5909999191184294,2.5909999191184294
74,89283081143ffff,-2.0545972815825486,-2.0545972815825486
75,8928308117bffff,-6.238395636687522,-6.238395636687522
76,89283081183ffff,-1.1269710071502779,-1.1269710071502779
77,89283081357ffff,-1.5151872186052486,-1.5151872186052486
78,892830981c3ffff,0.5714746620471054,0.5714746620471054
79,89283099c83ffff,24.363247682414347,24.363247682414347
80,89283081063ffff,-0.5792662760412597,-0.5792662760412597
81,892830813afffff,3.7643375242297346,3.7643375242297346
82,8928309810bffff,42.64572674499509,42.64572674499509
83,89283081567ffff,-1.7596316266000507,-1.7596316266000507
84,8928308157bffff,5.089928351970766,5.089928351970766
85,89283098157ffff,-6.392097106217873,-6.392097106217873
86,89283098173ffff,-0.026673656220451925,-0.026673656220451925
87,89283098563ffff,-1.153801595297896,-1.153801595297896
88,89283099c2fffff,-1.6090663492763078,-1.6090663492763078
89,89283099d1bffff,-6.737865060574645,-6.737865060574645
90,8928308115bffff,-7.129907775152092,-7.129907775152092
91,892830812a7ffff,-1.119304982014829,-1.119304982014829
92,892830813abffff,1.6134830377159517,1.6134830377159517
93,8928308155bffff,-2.341774788179764,-2.341774788179764
94,8928309811bffff,-4.637582669648862,-4.637582669648862
95,89283099c27ffff,-9.547521185308385,-9.547521185308385
96,89283099c3bffff,22.35217050006281,22.35217050006281
97,89283099dd7ffff,-4.392852950495179,-4.392852950495179
98,8928308106bffff,-5.935655637976364,-5.935655637976364
99,8928308118bffff,-3.245511639421716,-3.245511639421716
100,89283098117ffff,1.6716128737936753,1.6716128737936753
101,89283099dbbffff,1.2357990779185322,1.2357990779185322
102,892830810b7ffff,21.347029714364048,21.347029714364048
103,8928308138fffff,3.063946288612744,3.063946288612744
104,8928309815bffff,-4.25427238252808,-4.25427238252808
105,89283099d8fffff,-1.4532169453602837,-1.4532169453602837
106,8928308114fffff,-6.766797191560751,-6.766797191560751
107,8928309833bffff,-6.568876140574748,-6.568876140574748
108,89283098397ffff,-7.154635255301246,-7.154635255301246
109,892830983bbffff,-9.605860218043372,-9.605860218043372
110,89283099d93ffff,-1.1567697300800344,-1.1567697300800344
111,89283081547ffff,-7.668940204351278,-7.668940204351278
112,89283081577ffff,39.78185756046712,39.78185756046712
113,8928308119bffff,-1.8111712558068884,-1.8111712558068884
114,89283098143ffff,2.2273925420804446,2.2273925420804446
115,8928309816fffff,-1.4562762540538685,-1.4562762540538685
116,89283098347ffff,-2.753802686473075,-2.753802686473075
117,892830983abffff,-8.310943541548621,-8.310943541548621
118,89283081087ffff,3.981685631149837,3.981685631149837
119,8928308114bffff,-4.08506065542052,-4.08506065542052
120,892830811cbffff,-3.8525675056366495,-3.8525675056366495
121,89283081317ffff,4.2484700974089264,4.2484700974089264
122,89283081387ffff,-9.725701387774352,-9.725701387774352
123,89283099db3ffff,1.396912044909456,1.396912044909456
124,8928308101bffff,-12.060436819413537,-12.060436819413537
125,89283081103ffff,5.060707907940884,5.060707907940884
126,89283098393ffff,0.8007309806137384,0.8007309806137384
127,89283099c03ffff,13.492097601739507,13.492097601739507
128,892830810dbffff,-9.215732392971129,-9.215732392971129
129,89283081117ffff,13.801935767734179,13.801935767734179
130,892830812b3ffff,-4.359121491675592,-4.359121491675592
131,89283081563ffff,7.411646550538675,7.411646550538675
132,89283098ed3ffff,1.6727174576263604,1.6727174576263604
133,892830813c7ffff,2.7999296888312504,2.7999296888312504
134,89283098147ffff,-4.351927499550586,-4.351927499550586
135,8928309836fffff,-5.1431323680224175,-5.1431323680224175
136,89283099d8bffff,-7.12044369164835,-7.12044369164835
137,89283081057ffff,-3.2787098663279775,-3.2787098663279775
138,892830811dbffff,-0.2420744425931538,-0.2420744425931538
139,892830812bbffff,-6.252031521355866,-6.252031521355866
140,892830813a7ffff,-0.6416615291122412,-0.6416615291122412
141,892830813c3ffff,7.357173327561015,7.357173327561015
142,89283098177ffff,20.650216904673098,20.650216904673098
143,89283098367ffff,-9.288299257879501,-9.288299257879501
144,892830983cbffff,-5.565754109323748,-5.565754109323748
145,89283081003ffff,-1.450525363181054,-1.450525363181054
146,892830810afffff,1.1187290637143184,1.1187290637143184
147,8928309812bffff,59.24702876650335,59.24702876650335
148,892830981d7ffff,-1.389461013940629,-1.389461013940629
149,89283098237ffff,0.43010576197771844,0.43010576197771844
150,89283099d0bffff,-6.715958468184501,-6.715958468184501
151,892830810a7ffff,-1.5673071820265356,-1.5673071820265356
152,89283081217ffff,16.991227348705717,16.991227348705717
153,89283081397ffff,-16.552862536886792,-16.552862536886792
154,89283098307ffff,-3.2287410056821715,-3.2287410056821715
155,89283098323ffff,-2.777814534653901,-2.777814534653901
156,8928309838bffff,-6.227847711103335,-6.227847711103335
157,892830983d7ffff,-1.5127976268311345,-1.5127976268311345
158,89283098567ffff,1.780689833337254,1.780689833337254
159,8928309856fffff,-4.528998583514879,-4.528998583514879
160,89283099c13ffff,26.32782006972097,26.32782006972097
161,89283081027ffff,-0.6627124161814697,-0.6627124161814697
162,8928308102fffff,-8.646457142076759,-8.646457142076759
163,8928308106fffff,-4.027304266238318,-4.027304266238318
164,8928309831bffff,-5.933092768209957,-5.933092768209957
165,89283099d03ffff,2.2593189159997946,2.2593189159997946
166,89283081007ffff,1.867354950987263,1.867354950987263
167,8928308131bffff,-6.106661303877738,-6.106661303877738
168,892830813b3ffff,-9.647029544916164,-9.647029544916164
169,89283098387ffff,-1.1024334242790257,-1.1024334242790257
170,89283099dc3ffff,-3.7618414489431866,-3.7618414489431866
171,8928308108bffff,-2.9946691404814114,-2.9946691404814114
172,892830812afffff,-2.5344940421356092,-2.5344940421356092
173,89283099d47ffff,-5.575101858444226,-5.575101858444226
174,89283099d57ffff,-9.721306882343901,-9.721306882343901
175,892830812abffff,-0.26827522568358475,-0.26827522568358475
176,892830813cfffff,2.786774028046098,2.786774028046098
177,89283098edbffff,-2.9497851186211834,-2.9497851186211834
178,89283099d43ffff,-8.466679270470156,-8.466679270470156
179,89283081193ffff,2.3181750828662686,2.3181750828662686
180,892830811c3ffff,-2.2621182322307467,-2.2621182322307467
181,89283081463ffff,-7.155055977310717,-7.155055977310717
182,8928308154fffff,-3.9946247753784707,-3.9946247753784707
183,892830981d3ffff,-9.695897857973737,-9.695897857973737
184,89283099d97ffff,-13.541750023280253,-13.541750023280253
185,8928308100fffff,-3.266530050085141,-3.266530050085141
186,8928308142fffff,-5.61915033402902,-5.61915033402902
187,89283098313ffff,1.3564154307173002,1.3564154307173002
188,8928308108fffff,1.1409070348510157,1.1409070348510157
189,89283081313ffff,3.877666760819192,3.877666760819192
190,8928308146bffff,13.638401725258225,13.638401725258225
191,8928309802fffff,-3.8450822191104237,-3.8450822191104237
192,89283098337ffff,-5.427743433947313,-5.427743433947313
193,89283099cafffff,-4.984305167171083,-4.984305167171083
194,89283099d9bffff,2.7020421624675386,2.7020421624675386
195,89283099dd3ffff,0.9433290136032437,0.9433290136032437
196,89283081083ffff,14.029569414929483,14.029569414929483
197,8928308156fffff,0.8810997378132726,0.8810997378132726
198,892830981cbffff,-6.814738094012112,-6.814738094012112
199,89283098383ffff,-7.040142028548621,-7.040142028548621
200,89283099d73ffff,1.9647734427858916,1.9647734427858916
201,89283099dc7ffff,-4.310935507961229,-4.310935507961229
202,89283081023ffff,-3.940735747201976,-3.940735747201976
203,89283081307ffff,0.5982443118382132,0.5982443118382132
204,89283098153ffff,-2.64072240399061,-2.64072240399061
205,892830981dbffff,71.37151603382944,71.37151603382944
206,8928309830fffff,-3.0740851005634573,-3.0740851005634573
207,8928309834fffff,-5.786367502339653,-5.786367502339653
208,892830983c7ffff,-2.82625255144902,-2.82625255144902
209,8928309856bffff,-8.09826300283167,-8.09826300283167
210,89283098ec3ffff,-0.7810489804480518,-0.7810489804480518
211,89283099d4bffff,22.60678984744119,22.60678984744119
212,89283099d7bffff,2.90551830240339,2.90551830240339
213,89283081157ffff,-0.4905250316458325,-0.4905250316458325
214,89283081467ffff,-4.168912218305245,-4.168912218305245
215,8928309816bffff,-2.9694607036134126,-2.9694607036134126
216,8928309819bffff,-0.16876242197086633,-0.16876242197086633
217,89283098317ffff,-7.230944068048622,-7.230944068048622
218,89283099d13ffff,-10.628843642112434,-10.628843642112434
219,89283099d87ffff,-10.999254844632219,-10.999254844632219
220,89283081067ffff,-2.6701827213019804,-2.6701827213019804
221,892830810c3ffff,-0.21315916609075103,-0.21315916609075103
222,8928308110fffff,-9.571301834557243,-9.571301834557243
223,8928308116bffff,7.813826849966064,7.813826849966064
224,89283081187ffff,30.97488179451256,30.97488179451256
225,89283081333ffff,4.264911160911195,4.264911160911195
226,89283081017ffff,-5.086987237814652,-5.086987237814652
227,89283081043ffff,1.6637538948386474,1.6637538948386474
228,892830810d3ffff,0.278462554016059,0.278462554016059
229,892830812b7ffff,-7.971091142847787,-7.971091142847787
230,8928308154bffff,-5.52166527234591,-5.52166527234591
231,8928309822bffff,-5.6076218867882375,-5.6076218867882375
232,89283098303ffff,-6.011959203260219,-6.011959203260219
233,89283098377ffff,-12.348949398339558,-12.348949398339558
234,89283098ed7ffff,6.4472255005488535,6.4472255005488535
235,89283099c8fffff,13.969413305798657,13.969413305798657
236,8928308102bffff,-3.9687231430837695,-3.9687231430837695
237,89283081153ffff,-6.753472314772354,-6.753472314772354
238,892830811c7ffff,1.3586378598578408,1.3586378598578408
239,8928308139bffff,-10.485190276266696,-10.485190276266696
240,89283098113ffff,-2.1285780304314463,-2.1285780304314463
241,89283098187ffff,-2.8486733827567523,-2.8486733827567523
242,892830981cfffff,11.684163256085881,11.684163256085881
243,892830983b7ffff,0.33801272126922477,0.33801272126922477
244,892830983c3ffff,-8.090585669196493,-8.090585669196493
245,8928308107bffff,0.22766731752896874,0.22766731752896874
246,89283098103ffff,-3.1703067461227867,-3.1703067461227867
247,89283098183ffff,-2.2887041766922263,-2.2887041766922263
248,89283098333ffff,-9.927017090543373,-9.927017090543373
249,89283098e9bffff,2.045942598973113,2.045942598973113
250,89283099d53ffff,-9.592913469745021,-9.592913469745021
251,89283099d83ffff,-9.899318110917932,-9.899318110917932
252,8928308100bffff,7.369590266183357,7.369590266183357
253,8928308103bffff,-6.266770407079486,-6.266770407079486
254,8928308104fffff,-1.074957978782642,-1.074957978782642
255,8928308138bffff,-10.990885116080921,-10.990885116080921
256,8928309837bffff,-1.4947611391894329,-1.4947611391894329
257,89283099c93ffff,13.849419517021719,13.849419517021719
258,89283099d17ffff,3.1869442694095653,3.1869442694095653
259,892830810b3ffff,9.77983268887866,9.77983268887866
260,892830810d7ffff,7.01243961628375,7.01243961628375
261,89283081237ffff,27.74501869311448,27.74501869311448
262,89283081147ffff,-6.365349352570471,-6.365349352570471
263,89283098037ffff,-5.325323468385074,-5.325323468385074
264,8928309814bffff,-3.9207306686506715,-3.9207306686506715
265,8928309835bffff,-5.969991846905126,-5.969991846905126
266,8928309839bffff,-6.536409030073786,-6.536409030073786
267,89283098e57ffff,-3.95362812291998,-3.95362812291998
268,89283099d5bffff,-5.058667321325327,-5.058667321325327
269,89283081013ffff,10.848600470752555,10.848600470752555
270,89283081047ffff,-1.8135537042997036,-1.8135537042997036
271,8928308109bffff,8.598382657998101,8.598382657998101
272,8928308118fffff,-2.513201098571529,-2.513201098571529
273,892830811d7ffff,-4.6739769703998775,-4.6739769703998775
274,8928309818fffff,-3.914542737494928,-3.914542737494928
275,89283099897ffff,22.426435224911753,22.426435224911753
276,89283099dcfffff,-6.638589083102646,-6.638589083102646
277,89283081093ffff,5.989576571879873,5.989576571879873
278,89283098357ffff,-5.34526552779384,-5.34526552779384
279,89283099c37ffff,-7.8399947061532975,-7.8399947061532975
280,89283099ca7ffff,-6.555896901365793,-6.555896901365793
281,892830810c7ffff,1.1690278179531326,1.1690278179531326
282,892830810cbffff,-6.2822608415908,-6.2822608415908
283,8928308130bffff,-6.701906516092212,-6.701906516092212
284,8928309814fffff,-8.654635326301246,-8.654635326301246
285,89283098227ffff,-6.091063765026442,-6.091063765026442
286,8928309838fffff,-8.857464443926323,-8.857464443926323
287,892830983a3ffff,-5.654204102059117,-5.654204102059117
288,89283098e43ffff,0.7877733767309376,0.7877733767309376
289,89283098e4fffff,-3.0058180150359792,-3.0058180150359792
290,89283099ddbffff,-6.396173281548906,-6.396173281548906
