,h3id_9,no_med,y - y_estimated
0,89283081197ffff,36.92095633012967,36.92095633012967
1,8928308152fffff,63.84095476012966,63.84095476012966
2,8928309832bffff,-7.034421280731704,-7.034421280731704
3,892830810bbffff,1.763062940129668,1.763062940129668
4,89283081113ffff,-3.9623216763703315,-3.9623216763703315
5,89283081477ffff,-5.102347244370332,-5.102347244370332
6,89283099c23ffff,-6.860620916870332,-6.860620916870332
7,89283098327ffff,-7.342199824870332,-7.342199824870332
8,89283098e13ffff,2.395878705129668,2.395878705129668
9,89283098ecfffff,-7.0563147608703325,-7.0563147608703325
10,892830811d3ffff,-5.771349547870332,-5.771349547870332
11,89283098107ffff,2.054470750129667,2.054470750129667
12,8928309836bffff,-7.058643900467507,-7.058643900467507
13,89283099c87ffff,-4.196689249870332,-4.196689249870332
14,8928308146fffff,13.32095742012967,13.32095742012967
15,89283081ed3ffff,-0.8181724748703321,-0.8181724748703321
16,89283098e4bffff,-7.856819731870332,-7.856819731870332
17,8928308152bffff,52.99398036012967,52.99398036012967
18,89283098e8bffff,4.450872270129668,4.450872270129668
19,89283081233ffff,11.791328644629669,11.791328644629669
20,892830813dbffff,1.0215135151296675,1.0215135151296675
21,89283081303ffff,-3.9549891365302896,-3.9549891365302896
22,89283081edbffff,-2.5560734493703325,-2.5560734493703325
23,8928309830bffff,-8.079041964870331,-8.079041964870331
24,89283099c33ffff,-7.699731693870332,-7.699731693870332
25,89283099ca3ffff,-8.72608038426892,-8.72608038426892
26,892830813d7ffff,-1.9228325277317033,-1.9228325277317033
27,89283098163ffff,-0.9326585063703323,-0.9326585063703323
28,89283099c97ffff,-8.104964982370332,-8.104964982370332
29,8928309810fffff,26.983458225129667,26.983458225129667
30,892830813b7ffff,-1.782745369870332,-1.782745369870332
31,89283098197ffff,-5.2842965158703326,-5.2842965158703326
32,89283099cb7ffff,-7.612375322870332,-7.612375322870332
33,892830810a3ffff,-1.806314531870333,-1.806314531870333
34,8928308111bffff,-4.971899047370332,-4.971899047370332
35,89283098223ffff,-7.758721628870332,-7.758721628870332
36,89283098343ffff,-3.8103851498703323,-3.8103851498703323
37,89283098363ffff,-6.949431795370332,-6.949431795370332
38,89283081037ffff,-6.217503491370332,-6.217503491370332
39,892830811cfffff,-4.686437742870331,-4.686437742870331
40,892830813d3ffff,-2.698360029870332,-2.698360029870332
41,89283098373ffff,-7.251119929870332,-7.251119929870332
42,89283098ecbffff,-6.272516615731703,-6.272516615731703
43,89283099c07ffff,-7.679042038870332,-7.679042038870332
44,892830810abffff,-1.1755125897317047,-1.1755125897317047
