,h3id_9,no_med,y - y_estimated
0,89283081197ffff,37.04825514549605,37.04825514549605
1,8928308152fffff,63.96825357549604,63.96825357549604
2,8928309832bffff,-7.28507645150395,-7.28507645150395
3,892830810bbffff,1.8903617554960501,1.8903617554960501
4,89283081113ffff,-3.8350228610039494,-3.8350228610039494
5,89283081477ffff,-4.97504842900395,-4.97504842900395
6,89283099c23ffff,-6.7333221015039495,-6.7333221015039495
7,89283098327ffff,-7.21490100950395,-7.21490100950395
8,89283098e13ffff,2.5231775204960503,2.5231775204960503
9,89283098ecfffff,-6.92901594550395,-6.92901594550395
10,892830811d3ffff,-5.64405073250395,-5.64405073250395
11,89283098107ffff,2.181769565496049,2.181769565496049
12,8928309836bffff,-8.02354286950395,-8.02354286950395
13,89283099c87ffff,-4.0693904345039495,-4.0693904345039495
14,8928308146fffff,13.448256235496052,13.448256235496052
15,89283081ed3ffff,-0.69087365950395,-0.69087365950395
16,89283098e4bffff,-7.72952091650395,-7.72952091650395
17,8928308152bffff,53.12127917549605,53.12127917549605
18,89283098e8bffff,4.5781710854960505,4.5781710854960505
19,89283081233ffff,11.91862745999605,11.91862745999605
20,892830813dbffff,1.1488123304960496,1.1488123304960496
21,89283081303ffff,-4.75174319950395,-4.75174319950395
22,89283081edbffff,-2.4287746340039504,-2.4287746340039504
23,8928309830bffff,-7.95174314950395,-7.95174314950395
24,89283099c33ffff,-7.57243287850395,-7.57243287850395
25,89283099ca3ffff,-9.14488046110395,-9.14488046110395
26,892830813d7ffff,-2.1734876985039495,-2.1734876985039495
27,89283098163ffff,-0.8053596910039502,-0.8053596910039502
28,89283099c97ffff,-7.9776661670039495,-7.9776661670039495
29,8928309810fffff,27.110757040496047,27.110757040496047
30,892830813b7ffff,-1.6554465545039498,-1.6554465545039498
31,89283098197ffff,-5.1569977005039505,-5.1569977005039505
32,89283099cb7ffff,-7.48507650750395,-7.48507650750395
33,892830810a3ffff,-1.679015716503951,-1.679015716503951
34,8928308111bffff,-4.84460023200395,-4.84460023200395
35,89283098223ffff,-7.63142281350395,-7.63142281350395
36,89283098343ffff,-3.68308633450395,-3.68308633450395
37,89283098363ffff,-6.82213298000395,-6.82213298000395
38,89283081037ffff,-6.09020467600395,-6.09020467600395
39,892830811cfffff,-4.559138927503949,-4.559138927503949
40,892830813d3ffff,-2.57106121450395,-2.57106121450395
41,89283098373ffff,-7.12382111450395,-7.12382111450395
42,89283098ecbffff,-6.52317178650395,-6.52317178650395
43,89283099c07ffff,-7.55174322350395,-7.55174322350395
44,892830810abffff,-1.4261677605039509,-1.4261677605039509
45,892830812a3ffff,-6.05985116750395,-6.05985116750395
46,89283098167ffff,5.502005895496049,5.502005895496049
47,89283099d4fffff,25.237447035496047,25.237447035496047
48,89283081033ffff,-5.80066468750395,-5.80066468750395
49,89283081383ffff,-3.9301926885039498,-3.9301926885039498
50,892830981bbffff,0.11277297549604981,0.11277297549604981
51,89283098e1bffff,-3.5935342345039496,-3.5935342345039496
52,89283081393ffff,-4.5326256375039495,-4.5326256375039495
53,892830813bbffff,-3.0647866625039493,-3.0647866625039493
54,89283081073ffff,1.124014565496049,1.124014565496049
55,8928309813bffff,-0.680044982503949,-0.680044982503949
56,892830981c7ffff,1.7901926054960509,1.7901926054960509
57,89283081077ffff,6.004528805496049,6.004528805496049
58,892830810cfffff,-3.98903321800395,-3.98903321800395
59,8928308156bffff,4.52388646549605,4.52388646549605
60,89283098027ffff,-7.517532697503951,-7.517532697503951
61,89283081173ffff,8.446983685496049,8.446983685496049
62,892830811bbffff,24.82603505549605,24.82603505549605
63,892830813a3ffff,5.2781420354960495,5.2781420354960495
64,8928309832fffff,-4.32306088850395,-4.32306088850395
65,892830983b3ffff,-6.89417386950395,-6.89417386950395
66,89283081053ffff,-2.31537954150395,-2.31537954150395
