h3id_9,max_counta,avg_congested_prop,max_length,max_avg_speed,min_avg_speed,avg_speed,max_median_level,min_median_level,median_level,bool_highway,usual_road_type
89283098313ffff,3,256.0973971452561,1442,6.402777777777778,0.9138888888888889,3.422877600522436,4,1,3,0,7
8928308146fffff,2,500.65841584158414,6789,16.344444444444445,0.45555555555555555,4.812098459845987,4,1,3,1,1
892830981c7ffff,1,285.625,305,2.486111111111111,1.8666666666666667,2.141493055555556,4,2,3,0,1
8928309813bffff,1,244.0,280,2.3305555555555557,1.7722222222222221,1.9166666666666667,4,3,4,0,6
89283098ec7ffff,1,150.0,150,1.1,1.0277777777777777,1.0587962962962965,3,3,3,0,1
89283098107ffff,1,665.5833333333334,1420,7.863888888888889,1.7305555555555556,4.333796296296296,4,2,4,0,6
89283098193ffff,1,519.3157894736842,1141,7.763888888888889,1.461111111111111,3.6372807017543867,4,2,3,0,6
89283081217ffff,1,448.7068965517241,3164,4.913888888888889,1.0583333333333333,2.3722701149425287,4,1,2,1,1
89283099c87ffff,3,103.66494845360825,1305,7.122222222222222,0.525,1.8692225085910656,4,2,4,1,7
89283081463ffff,1,319.3009708737864,812,4.088888888888889,0.8416666666666667,2.0419093851132684,4,1,3,0,7
892830983b3ffff,1,371.6190476190476,817,6.288888888888889,1.0166666666666666,2.7625661375661377,4,2,3,0,7
8928309856fffff,1,232.8,238,1.5083333333333333,1.2083333333333333,1.3794444444444445,4,3,4,0,1
89283099cabffff,1,806.0,806,5.377777777777778,4.819444444444445,5.09375,2,2,2,0,7
892830811bbffff,1,400.0,400,3.3194444444444446,3.202777777777778,3.253333333333334,4,4,4,0,2
892830810cbffff,4,86.37662337662337,1098,4.194444444444445,0.0,1.3943055555555552,5,1,4,0,7
8928308116bffff,1,1023.1255230125523,4834,17.738888888888887,1.9944444444444445,4.781566713156672,4,1,4,1,4
892830812a7ffff,2,301.8405017921147,1453,6.3277777777777775,0.7805555555555556,3.4127140581441653,4,2,3,0,6
89283081333ffff,2,157.57194244604315,606,4.636111111111111,0.9833333333333333,2.183558153477218,4,2,3,0,7
8928308115bffff,1,275.25,760,4.727777777777778,0.7472222222222222,1.5551388888888888,4,2,4,0,7
89283098163ffff,1,378.8139534883721,653,4.486111111111111,1.3722222222222222,2.4830749354005164,4,3,3,0,2
89283098333ffff,1,448.375,514,3.25,2.1777777777777776,2.805902777777778,2,2,2,0,1
892830813d7ffff,1,485.1304347826087,818,5.725,0.7777777777777778,3.0241545893719795,4,2,3,0,2
89283098187ffff,1,455.01063829787233,1033,6.947222222222222,1.4305555555555556,3.2451832151300244,4,2,3,0,6
89283081157ffff,4,206.47269890795633,1152,8.327777777777778,0.0,2.836550962038481,5,2,4,0,6
89283098357ffff,1,597.5862068965517,1668,6.608333333333333,1.2472222222222222,3.637675606641123,4,1,3,0,7
892830811dbffff,1,376.4594594594595,1243,5.3805555555555555,0.525,2.367192192192192,4,2,3,0,6
892830983b7ffff,1,809.36,1440,5.833333333333333,1.5833333333333333,4.291,3,2,3,0,7
892830983c3ffff,1,269.0,269,2.191666666666667,1.35,1.7865079365079364,4,3,3,0,1
892830812bbffff,1,322.275,551,3.438888888888889,0.6805555555555556,1.8646527777777782,4,2,3,0,1
8928308139bffff,2,118.33793103448276,639,4.458333333333333,0.0,0.3494252873563218,5,2,5,0,2
89283098177ffff,1,825.4126984126984,8802,11.536111111111111,0.8583333333333333,2.911419753086419,4,2,3,1,6
89283098103ffff,1,244.72727272727272,394,2.475,0.5777777777777777,1.2953282828282828,4,3,4,0,1
8928309811bffff,1,8067.072463768116,10742,19.01388888888889,7.433333333333334,11.48663446054751,3,1,2,1,3
89283081067ffff,2,213.5690789473684,1024,6.1,0.8638888888888889,2.3689601608187134,4,1,3,0,7
8928308107bffff,2,261.4823091247672,1861,6.1194444444444445,0.3527777777777778,2.808648872336023,4,1,3,0,6
8928308110fffff,1,792.0,792,6.5,1.8083333333333333,3.5857594936708863,4,3,4,0,4
89283098e43ffff,2,210.92605633802816,1493,5.958333333333333,0.8,2.559683098591549,4,2,4,0,6
89283098e4fffff,2,164.11111111111111,858,7.063888888888889,1.2444444444444445,2.4212770061728386,4,2,2,0,6
892830813abffff,1,335.36,968,4.758333333333334,1.0277777777777777,2.1586666666666665,4,3,3,0,6
89283099d53ffff,1,249.0,249,1.3333333333333333,1.2472222222222222,1.2829365079365078,3,3,3,0,2
89283099c3bffff,1,7528.2,10975,15.344444444444445,5.6305555555555555,9.809444444444445,3,1,3,1,3
8928308101bffff,8,52.23982319078947,1109,4.166666666666667,0.0,2.234761684484649,5,1,3,0,6
892830810b3ffff,2,269.86641221374043,2959,19.480555555555554,0.8527777777777777,2.9337468193384217,4,1,3,1,7
892830810d7ffff,6,67.23704594017094,1065,5.625,0.0,2.053194147673314,5,1,3,0,2
89283081237ffff,2,313.05457746478874,1682,6.563888888888889,1.086111111111111,3.608110817683881,4,2,3,0,6
89283098363ffff,2,327.1266233766234,1641,5.552777777777778,1.15,3.212436868686869,4,2,3,0,7
892830813cfffff,2,288.1363636363636,2755,15.616666666666667,0.7388888888888889,3.418890291806959,4,1,3,1,6
892830983afffff,1,353.0,357,2.6166666666666667,2.2305555555555556,2.415277777777778,2,2,2,0,1
8928309835bffff,2,158.09756097560975,675,4.152777777777778,0.42777777777777776,1.9011969286359534,4,3,4,0,7
8928308102fffff,1,353.14814814814815,1217,5.888888888888889,0.14722222222222223,1.8876543209876546,4,1,3,0,1
89283081147ffff,1,104.3883495145631,824,4.786111111111111,0.0,0.18249730312837106,5,1,5,0,7
89283099d5bffff,1,380.0,380,2.6194444444444445,2.4444444444444446,2.516666666666667,4,4,4,0,7
89283081093ffff,7,43.4721706864564,1825,4.341666666666667,0.0,1.1015005497148351,5,2,4,0,7
892830981cfffff,2,1889.27868852459,11076,17.775,2.0027777777777778,6.10059957498482,4,1,3,1,4
89283099d87ffff,1,332.3333333333333,821,5.186111111111111,1.525,2.370949074074074,4,2,3,0,2
89283081153ffff,1,467.8970588235294,1469,5.375,0.2916666666666667,1.724877450980392,4,3,4,0,6
8928309816bffff,1,845.3181818181819,1011,6.508333333333334,4.6,5.539520202020202,3,2,2,0,7
89283098367ffff,1,355.0,355,2.3305555555555557,2.275,2.3006944444444444,2,2,2,0,1
892830810c3ffff,3,169.41646390916463,1313,4.461111111111111,0.49722222222222223,2.5490498558168873,5,1,2,0,6
892830810c7ffff,6,68.52420470262794,1080,5.438888888888889,0.0,2.130218418626095,5,1,3,0,7
89283081187ffff,1,525.6071428571429,1073,4.983333333333333,0.0,2.1445932539682544,5,2,3,0,4
8928309838fffff,2,336.0044642857143,1766,6.333333333333333,1.0638888888888889,2.9555431547619047,4,2,3,0,7
8928308130bffff,2,275.83490566037733,1342,5.222222222222222,0.9694444444444444,3.2948375262054506,4,2,3,0,7
89283098e9bffff,1,597.4897959183673,1263,6.205555555555556,0.675,3.5693310657596378,4,2,3,0,6
89283099c97ffff,3,922.4294871794872,16005,15.725,0.19722222222222222,3.3276917141500486,4,1,4,1,3
89283099dd7ffff,1,400.74074074074076,547,3.975,0.9777777777777777,2.5137860082304533,4,2,3,0,1
89283098183ffff,1,246.075,339,2.0194444444444444,0.6138888888888889,1.5124305555555555,4,2,3,0,6
89283098227ffff,1,410.75,500,3.636111111111111,1.6222222222222222,2.146875,4,3,4,0,7
892830983a3ffff,1,412.38461538461536,512,3.2944444444444443,1.738888888888889,2.2841880341880345,4,3,3,0,1
89283099ddbffff,1,300.94117647058823,344,2.7305555555555556,1.7472222222222222,2.2401960784313726,3,3,3,0,7
8928309814fffff,1,728.0,728,5.655555555555556,5.15,5.302083333333334,2,2,2,0,1
8928309822fffff,1,266.0,266,2.2083333333333335,2.191666666666667,2.2,2,2,2,0,1
8928308155bffff,1,208.0,208,1.5333333333333334,1.4861111111111112,1.5104166666666667,4,4,4,0,1
892830813afffff,2,223.79044117647058,1683,5.838888888888889,0.5972222222222222,2.749673202614378,4,2,3,0,7
892830813b7ffff,2,428.43148148148146,1160,9.216666666666667,0.0,3.259367283950618,5,2,4,1,4
892830981d7ffff,1,346.3333333333333,410,3.3027777777777776,0.6694444444444444,2.44728835978836,4,3,3,0,1
89283098197ffff,1,792.5714285714286,1161,8.172222222222222,1.836111111111111,5.698015873015874,3,2,2,0,6
8928308102bffff,2,185.04545454545453,1095,5.961111111111111,0.8888888888888888,2.4040782828282827,4,2,3,0,6
89283081057ffff,5,67.16182572614107,1211,4.027777777777778,0.0,1.7541710209517953,5,1,3,0,7
892830811c7ffff,1,354.8695652173913,1332,6.038888888888889,0.2111111111111111,2.1017512077294684,4,2,3,0,6
892830812a3ffff,1,245.0185185185185,857,4.947222222222222,0.7638888888888888,1.5948559670781894,4,2,3,0,1
892830813a7ffff,2,256.13157894736844,1222,7.025,0.0,1.750950292397661,5,2,5,0,7
892830813c3ffff,2,569.4805825242719,1497,12.452777777777778,0.23055555555555557,5.798698759439052,4,2,3,1,3
89283098167ffff,1,579.4893617021277,1370,6.319444444444445,0.0,3.314952718676123,5,1,3,0,6
89283081467ffff,2,187.2655172413793,1435,3.65,0.5416666666666666,2.0067337164750962,4,2,3,0,1
89283099d4fffff,1,1940.857142857143,9469,11.191666666666666,1.0833333333333333,3.740079365079365,4,3,4,1,2
892830983cbffff,1,584.0,638,5.083333333333333,3.388888888888889,4.316666666666666,3,3,3,0,7
89283099ca7ffff,1,218.0,218,1.5583333333333333,1.475,1.5180555555555557,4,4,4,0,7
89283098317ffff,1,196.42857142857142,271,1.3277777777777777,1.0222222222222221,1.2325396825396826,3,3,3,0,1
89283081013ffff,10,45.81246418338109,1392,4.538888888888889,0.0,2.4046800713679293,5,1,2,0,6
89283081083ffff,3,359.14332675871134,9464,17.113888888888887,0.8333333333333334,3.767713127328511,4,1,3,1,6
8928309818fffff,2,244.61111111111111,1490,7.85,0.2111111111111111,3.172333676268862,4,2,3,0,6
8928308118fffff,1,326.2857142857143,406,2.6333333333333333,1.525,1.8567460317460316,3,1,3,0,1
8928309836fffff,1,513.75,1411,6.516666666666667,1.3277777777777777,2.938958333333334,4,2,4,0,7
8928309837bffff,2,320.21835443037975,1138,5.8277777777777775,1.2944444444444445,3.7714398734177226,4,2,3,0,7
892830811d7ffff,4,54.41525423728814,465,2.433333333333333,0.0,0.33175612052730696,5,3,5,0,7
89283099d8bffff,1,471.25,795,5.008333333333334,2.1166666666666667,3.44375,3,2,3,0,7
892830981c3ffff,1,7647.929577464789,11371,17.413888888888888,1.5194444444444444,9.827895148669798,4,1,3,1,3
89283098347ffff,2,185.54929577464787,1060,4.872222222222222,0.8611111111111112,2.3444346635367763,4,2,3,0,7
89283081183ffff,1,583.9310344827586,996,6.211111111111111,1.9055555555555554,3.962835249042145,3,1,2,0,7
