Lon,Lat,NO_Med,NO2_Med,BC_Med,NO_Mean,NO2_Mean,BC_Mean,Speed_Med,Unique_Days,Unique_1Hz,AdjFac_NO,AdjFac_NO2,AdjFac_BC,Road_Type,Index_Hwy,Index_Domain,NO_SE,NO2_SE,BC_SE
-122.3058359,37.80812105,47.01124415,43.18417269,2.332410278,72.23268413,46.53996556,3.375461714,13.03344917,82,198,1.064102564,1.1216133,1.117647059,2,0,1,2.724003533,2.080244678,0.147212155
-122.3057022,37.80819587,61.50475985,45.30597827,2.702900388,82.33018235,48.39179018,4.476297208,15.45133781,60,76,1.023255814,1.125,1.005076142,3,0,1,6.447487391,3.19800829,0.4237993647
-122.3056748,37.80792636,65.46153851,55.90857356,2.59379975,95.61226984,59.10400902,2.649551458,10.9473772,20,37,1.2,1.244680851,1.055555556,2,0,1,24.51103289,10.83319994,0.3705351328
-122.3056524,37.80796665,50.14285837,41.31713418,1.633319024,68.68760487,42.58343768,3.036577844,4.426794052,58,256,1.092553998,1.224489796,1.109083192,2,0,1,2.702266651,1.307927181,0.09879996844
-122.3054958,37.80810489,50.47472598,39.77700043,2.313092674,79.55456697,44.61403186,3.993716676,10.43807697,81,293,1.09292881,1.065217391,1.117647059,2,0,1,4.020629677,2.186250426,0.2507468666
-122.3053224,37.80789986,42.33870865,31.64049514,1.957784202,68.84069388,37.10610098,2.711209325,3.132966399,61,317,1.287179487,1,1.1375,2,0,1,3.8088019,0.9649567541,0.1623287851
-122.3052231,37.80760447,73.12499837,46.99126714,2.778264046,135.3826162,44.09183694,3.708831876,9.553232193,23,100,1,1.135338346,1,1,0,1,14.17454842,2.244486805,0.4909732565
-122.3052204,37.80787364,36.62500032,42.86732962,2.451147803,92.99428783,42.55675252,2.898929189,6.996443748,32,90,1,1.096263702,1.192771084,1,0,1,5.02165602,0.5567357462,0.1802921842
-122.3052198,37.80787778,43.70000008,40.40861367,1.749915624,67.57530574,38.90531807,2.441301496,5.610016346,58,180,1.086206897,1.139097744,1.095541401,1,0,1,3.328333626,0.6091493378,0.1488284227
-122.3051744,37.80733686,72.49999838,45.90799904,2.380857099,131.8250946,47.50022841,3.357499358,13.04116535,23,68,1,1.139097744,1,1,0,1,24.65987284,2.63680838,0.4349252332
-122.3051607,37.80805699,64.40000013,50.6780014,3.071272693,88.36463566,51.86567386,4.210440278,13.85913229,79,147,1.037037037,1.113207547,1.047619048,2,0,1,10.2775278,2.634913637,0.2405130296
-122.3051154,37.80707059,119.4473705,45.70318333,2.631453037,151.9773971,48.23171892,3.4199739,15.56708717,23,77,1,1.135338346,1,1,0,1,26.25599348,2.521686045,0.4473426818
-122.3050304,37.80680879,140.7804907,45.72200277,2.819091047,164.6968439,49.49080878,4.125638013,17.94896507,23,62,1,1.135338346,1,1,0,1,24.81010656,2.0228357,0.5828028845
-122.3049623,37.80802018,61.33950433,44.40817708,2.067763293,79.5581359,48.02018932,3.463163282,1.954888701,94,354,1,1.095409232,1.116515837,1,1,1,6.913324428,1.092831718,0.09167573621
-122.3049263,37.80655139,111.9024372,46.12612931,2.525156073,142.3690761,50.48501103,4.36885743,19.00614834,23,67,1,1.15037594,1,1,0,1,16.43488006,2.653384488,0.3315701539
-122.3049201,37.8086814,38.60493782,25.17426768,1.498647898,57.56926833,29.60302972,1.803858653,27.49190903,47,61,0.71875,0.9452054795,0.8307692308,1,1,1,4.760103835,2.438134019,0.2357394612
-122.3049157,37.80895164,40.28888055,25.09040655,1.192460966,58.80472512,29.89945871,1.410097492,27.03919792,45,57,0.7068965517,0.9452054795,0.8294471154,1,1,1,5.560388737,2.602641967,0.1648515656
-122.3049125,37.80841111,46.14285965,25.74538129,1.533500118,68.21302979,30.87626628,1.891303559,26.47588062,45,54,0.7352941176,0.9452054795,0.8429695518,1,1,1,5.516165339,3.246714188,0.1711310895
-122.3048984,37.80817139,42.50000045,25.21530676,1.690259444,67.72791112,31.42832643,2.117130136,26.11834145,38,42,0.7539193729,1,0.8378378378,1,1,1,6.619639909,3.185761691,0.2661330782
-122.3048952,37.80922147,34.59375104,24.15283514,1.722813131,59.88054995,28.21906251,2.003352817,27.6230917,46,56,0.7352941176,1,0.8294471154,1,1,1,4.828022439,1.926419073,0.2293611733
-122.3048924,37.80780278,55.20000011,50.11070503,2.932272744,69.76107688,48.3029543,4.450690587,0.3421055228,67,409,1.086206897,1.11682243,1.192771084,1,1,1,1.887145471,1.148773527,0.1559672793
-122.3048727,37.80790178,50.62500131,42.64564843,2.006515612,69.98725149,44.58987636,7.350131399,7.402854919,57,202,1,1.142857143,1.071428571,1,1,1,3.957377365,1.604566,0.1187657257
-122.3048628,37.80949063,35.12444454,24.68361137,1.417674904,51.21183745,28.53411569,1.738541686,27.08292484,47,58,0.7235725309,0.9456317854,0.8343035343,1,1,1,2.525444624,2.494740717,0.3075892846
-122.3048338,37.80763318,53.8088522,37.65951339,2.137566969,68.52577468,40.13636141,2.132828974,25.82253647,28,36,0.89375,1,1,1,1,1,9.869879787,6.744249369,0.3711671345
-122.3048291,37.80799474,46.87500186,46.92456035,1.939501047,70.3311559,46.2343672,3.320663121,10.1757102,80,220,1,1.071070234,1,2,1,1,4.979603252,3.800594586,0.153812541
-122.3048259,37.80758005,37.00000048,26.06863099,1.656516214,62.60056926,28.17471448,1.828660064,26.6199255,28,32,0.7027027027,0.9460580913,0.9476190476,1,1,1,4.91707584,2.156803626,0.2220737296
-122.3048145,37.80975823,32.66101583,24.57764324,1.651182016,53.71175602,29.53532984,1.753017272,27.07006454,45,60,0.7318445897,1,0.8481012658,1,1,1,2.734270237,2.276200762,0.3047596187
-122.304806,37.80629854,88.94117264,44.84468359,2.956269954,131.3718868,44.85515211,4.217434325,19.24536514,23,67,1,1.135338346,1,1,0,1,18.45889813,2.550255503,0.4451664773
-122.304759,37.80731493,49.68749941,28.50478655,1.934534124,81.86958924,33.39714872,2.160575273,26.51446342,45,60,0.7446808511,1,0.8307692308,1,1,1,6.339344509,1.99434768,0.2860757859
-122.3047518,37.81002379,26.64462766,24.18922988,1.284731881,33.47345013,25.58866576,1.539484957,27.90089226,25,27,0.6785714286,0.9452054795,0.8307692308,1,1,1,5.288664018,2.400045605,0.3035089467
-122.3047429,37.81005416,32.04938254,26.39621752,1.872520486,50.48649404,28.79537786,1.981902059,27.20381927,36,37,0.7446808511,0.9730290456,0.8954792043,1,1,1,3.593714045,2.711632311,0.4046344802
-122.304686,37.80705086,46.99999839,28.01717781,1.914937215,67.28040214,32.70065082,2.03872307,26.90029812,47,59,0.71875,0.9460580913,0.8343035343,1,1,1,4.294836193,1.70586098,0.2602414031
-122.3046691,37.80605096,97.00000286,45.55326505,2.094016168,130.433804,50.55825972,3.791971459,19.26851559,23,59,1,1.15037594,1,1,0,1,10.13430492,1.827599861,0.5263649872
-122.3046635,37.81031709,30.1071436,25.14126121,1.650973793,45.24255311,27.36817177,1.672870129,27.15237617,43,53,0.7068965517,0.9730290456,0.828125,1,1,1,3.944331709,2.384482069,0.2360748559
-122.3045973,37.8067898,47.79611714,27.83541197,2.035779648,66.86983502,31.55319455,1.918010033,27.11636448,47,53,0.7128232759,0.9456317854,0.8378378378,1,1,1,4.361669473,1.762751215,0.2008873525
-122.304571,37.81057732,29.20289748,22.9344657,1.518668107,42.58711581,25.46921317,1.545554613,27.61794758,46,58,0.7283950617,0.9452054795,0.828125,1,1,1,2.560975394,2.209642386,0.2958407003
-122.304565,37.80772777,41.66666729,34.7268652,2.005043354,55.87017805,39.6489875,2.524729409,1.67194432,72,323,1.714285714,1.340909091,1.263157895,2,1,1,2.485457046,3.455170225,0.1105160948
-122.3045354,37.80862298,42.92382979,24.49656554,1.429098667,79.40225696,28.58647491,2.042010274,29.43136501,39,42,1.25,1,1.084533683,1,1,1,11.24418817,3.224106546,0.2503098742
-122.3045344,37.80835267,36.06603838,24.6346732,1.427014902,68.38597945,28.51011956,1.860308652,29.41335869,48,60,1.226190476,1,1.102843365,1,1,1,7.66499152,2.324379256,0.3246141823
-122.3045322,37.80874212,42.46921086,26.39437914,1.21609849,61.23765273,29.52636713,1.793240021,29.1895752,32,37,1.34057971,1,1.112903226,1,1,1,8.928345929,2.379250843,0.3840313417
-122.3045255,37.80808238,65.31944602,29.6801462,1.580412619,99.05447232,32.19691609,1.95278977,29.52396393,29,29,1.373913043,1.00862069,1.102843365,1,1,1,16.71819598,3.463145111,0.4399475664
-122.3045242,37.80806867,50.2407419,32.20042179,2.158964308,70.85064829,37.65495024,5.614822251,27.81600952,21,21,1.131944444,1.073684211,1.071428571,1,1,1,19.15813256,5.860549736,1.442703428
-122.3045218,37.8058072,98.10937406,45.37107108,2.485165781,132.9526152,47.00880625,4.071923771,20.10448647,23,59,1,1.139097744,1,1,0,1,11.29335152,3.414326313,0.5395757357
-122.3045158,37.80901208,42.05319372,28.22915411,1.174744997,76.83307949,30.33608705,1.453341065,29.67572594,47,57,1.320512821,1,1.112903226,1,1,1,9.250922064,2.440598225,0.1706351143
-122.3045018,37.80791986,54.99999877,43.65511068,2.277204121,86.5574126,48.48387157,3.971577522,8.282555103,97,410,1,1.113207547,1,1,1,1,4.472216197,1.841385956,0.1712965854
-122.3044981,37.80653119,48.37272702,27.72141131,1.909523153,75.45042087,31.31024671,2.095757563,27.4224596,45,60,0.766194332,0.9452054795,0.828125,1,1,1,4.901700311,1.52958626,0.1804992185
-122.3044977,37.80779912,42.19178191,36.40040016,2.328482308,61.70682482,39.3260955,2.797794734,0.4681444168,73,465,1.424137931,1.167836257,1.105263158,1,1,1,1.647733272,0.5860271356,0.1289546836
-122.3044889,37.80928162,35.99999845,25.04545455,0.5055720816,66.81714604,28.82619177,1.432208424,29.76575279,47,57,1.307692308,1,1.092783505,1,1,1,5.959859818,2.329991389,0.2774421587
-122.3044665,37.81083456,31.554973,24.10083024,1.308599705,42.4337109,26.0620214,1.505560126,27.82115364,47,57,0.7128232759,0.9452054795,0.8378378378,1,1,1,4.114573647,2.416838636,0.1691792825
-122.3044504,37.80753135,63.46667012,29.77599907,1.400170727,69.87461297,31.14909381,1.554786606,27.65910339,47,79,1.666666667,0.9876033058,1.112903226,1,1,1,7.395695547,1.764001989,0.1267198281
-122.3044433,37.80954956,39.68459541,26.81311533,1.260322079,72.21189864,28.96396418,1.770211116,29.37477589,47,57,1.320512821,1,1.112903226,1,1,1,4.776088296,2.667887856,0.2423118464
-122.3043948,37.80732838,53.25000011,28.66172493,1.112001929,74.68665882,29.93341014,1.374695442,29.77089691,46,52,1.164414414,1,1.032258065,1,1,1,8.735236126,2.505813732,0.2308019396
-122.3043886,37.80627527,44.2609708,28.7245128,1.618057213,68.01139271,32.31037148,1.648444049,27.09578705,46,58,0.7235725309,0.9730290456,0.8294471154,1,1,1,3.218137299,1.793258378,0.1797043796
-122.3043877,37.8098162,40.16666642,27.16850618,1.405635743,76.35023525,28.49109061,1.945581609,29.70401955,48,61,1.226190476,1,1.08045977,1,1,1,6.87263258,2.424119708,0.2379689886
-122.3043515,37.80557298,88.96874869,44.65927899,2.406574445,140.5684098,48.86077472,4.332752722,21.03563118,23,65,1,1.157894737,1,1,0,1,19.5506464,3.701575301,0.5186526705
-122.3043507,37.81108874,30.66666673,25.12682938,1.322295552,39.43678976,25.71200605,1.596696545,27.9729147,47,62,0.71875,1,0.8307692308,1,1,1,3.212039381,1.76402645,0.254333518
-122.3043208,37.81008132,37.16666593,25.01781872,1.209791945,78.3116465,28.88915423,1.554763684,29.54968643,49,62,1.34057971,1,1.123330594,1,1,1,4.540613623,2.935110336,0.3271209457
