"h3id_9","max_counta","avg_congested_prop","max_length","max_avg_speed","min_avg_speed","avg_speed","max_median_level","min_median_level","median_level","h3id_9","bool_highway","bool_primary","bool_ramps","bool_secondary","count_highway","count_streets","count_primary","count_secondary","count_primary_street","count_primary_ramps","usual_road_type"
"89c2f156b4fffff","2","368.0614224137931","850","3.941666666666667","0.0","0.01259279214559387","5","3","5","89c2f156b4fffff","0","0","0","0","0","4","0","0","958","0","2"
"89c2f119067ffff","8","13.293543809861653","304","0.495","0.0","8.696937448267707E-4","5","5","5","89c2f119067ffff","0","0","0","0","0","11617","0","0","0","0","1"
"89c2f15558fffff","1","921.2946317103621","1242","5.9944444444444445","0.0","0.09902552365099183","5","1","5","89c2f15558fffff","0","0","0","0","0","801","0","0","0","0","1"
"89c2f119b87ffff","1","953.6","1164","7.711111111111111","4.3694444444444445","5.434444444444444","3","1","2","89c2f119b87ffff","0","0","0","0","0","0","0","0","15","0","2"
"89c2f154147ffff","2","365.0439189189189","1925","5.916666666666667","2.3194444444444446","4.177721471471471","3","1","2","89c2f154147ffff","0","0","0","0","0","0","0","0","149","0","2"
"89c2f1ccbd3ffff","3","197.4904667981591","1824","5.719444444444444","1.1027777777777779","2.927586017970633","4","2","2","89c2f1ccbd3ffff","0","0","0","0","0","308","0","0","263","0","1"
"89c2f15692fffff","1","221.0","221","1.7916666666666667","1.761111111111111","1.7756944444444445","3","3","3","89c2f15692fffff","0","0","0","0","0","0","0","0","4","0","2"
"89c2f1cca3bffff","3","79.57749469214437","973","3.933333333333333","0.0","0.6285651096956829","5","1","5","89c2f1cca3bffff","0","0","0","0","0","167","0","0","5","0","1"
"89c2f119307ffff","5","23.371428571428574","639","3.9444444444444446","0.0","0.0362647209421403","5","2","5","89c2f119307ffff","0","0","0","0","0","1073","0","0","0","0","1"
"89c2f11824fffff","4","17.0","68","0.0","0.0","0.0","5","5","5","89c2f11824fffff","0","0","0","0","0","591","0","0","0","0","1"
"89c2f1568b7ffff","6","21.819109461966605","801","3.061111111111111","0.0","0.13685271078128222","5","2","5","89c2f1568b7ffff","0","0","0","0","0","2427","0","0","21","0","1"
