h3id_9,no_med,no2_med,bc_med,city,general_counta,node_counta,info_counta,highway_counta,natural_counta,place_counta,parking_counta,addr_street_counta,addr_housenumber_counta,amenity_counta,school_counta,restaurant_counta,place_of_worship_counta,shop_counta,name,parking,crossing
892830813b7ffff,8.29629669,16.26126291,0.5546050901,1,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89283098197ffff,4.7947455439999995,6.61664879,0.1853747332,2,6,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
89283099cb7ffff,2.4666667369999997,7.034079646,0.2585621044,2,100,6,35,5,0,0,0,0,0,0,0,0,0,0,5,0,0
89283081197ffff,46.99999839,31.75106916,1.7464733940000001,1,22,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
89283081547ffff,10.50450445,19.02596217,0.8153750341,1,36,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89283081577ffff,54.43749903,37.37284915,1.6717167659999999,1,22,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892830811d3ffff,4.307692512,12.013726394999999,0.39925252364999997,1,42,3,23,3,0,0,0,0,0,0,0,0,0,0,2,0,0
89283098107ffff,12.13351281,11.821608995,0.4716199197,2,74,12,37,3,0,0,0,0,0,5,0,0,0,0,6,0,0
8928309810fffff,37.062500285,19.434889405,0.95557440095,2,66,11,30,6,0,0,0,0,0,0,0,0,0,0,2,0,0
8928309836bffff,1.9282003749999999,5.889932239,0.34788263340000003,2,52,4,38,1,0,0,0,0,0,1,2,0,0,0,2,0,0
89283099c87ffff,5.88235281,9.509351085999999,0.236876626,2,54,6,32,3,0,0,0,0,0,2,0,0,0,1,3,0,0
89283081097ffff,6.093749863999999,12.70729469,0.4084989858,1,222,37,90,17,0,0,0,3,3,7,0,4,0,1,12,0,30
8928308110bffff,14.802925305,18.260975395,0.7987007123500001,1,24,10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4
89283081143ffff,8.3783439665,15.93528805,0.5599608509,1,34,6,24,2,0,0,0,0,0,0,0,0,0,0,1,0,2
8928308114fffff,7.285714349,14.39824617,0.5246126502499999,1,86,16,48,2,0,0,0,0,0,1,0,0,0,0,2,0,0
8928308117bffff,7.30434789,15.47299957,0.5285506734000001,1,36,10,24,0,0,0,0,1,1,0,0,0,0,0,1,0,0
8928309833bffff,4.235880435,8.910372035,0.21979724109999998,2,74,11,42,4,0,0,0,0,0,1,0,0,0,0,3,0,2
89283098397ffff,4.00000019,6.982595738,0.3945783401,2,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892830983bbffff,3.0492063805000003,6.234344501500001,0.2843133702,2,14,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89283099d93ffff,2.857142993,7.986071347999999,0.1952323451,2,116,8,50,4,0,0,0,0,0,2,1,0,1,0,6,0,0
8928308119bffff,5.600000266,11.839842335,0.41180900774999996,1,220,33,84,24,0,0,0,2,2,5,0,1,1,1,10,0,32
89283098143ffff,5.9400001165,9.520347238,0.38484012344999996,2,160,9,54,8,0,0,0,0,0,1,0,0,1,0,8,0,0
8928309816fffff,9.1982154735,11.77402055,0.55990095315,2,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89283098327ffff,2.736842235,6.90899992,0.2575635882,2,86,7,28,4,0,0,0,0,0,0,0,0,0,0,4,0,0
89283098347ffff,4.1363637639999995,8.542314167,0.2165974098,2,82,5,28,4,0,0,0,0,0,0,0,0,0,0,4,0,0
892830983abffff,3.3438356215,5.9357829445,0.2695464226,2,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89283098e13ffff,12.474920765,12.598034665,0.5241422645,2,268,31,76,14,0,0,0,0,0,0,0,0,0,0,5,0,0
89283098ecfffff,3.022727299,7.5112707095,0.3421801496,2,50,9,17,7,0,0,0,0,0,0,0,0,0,0,0,0,10
89283081233ffff,21.8703707045,19.771518855,0.8133456173000001,1,192,15,90,6,0,0,0,7,7,4,0,3,0,2,11,0,2
89283081393ffff,5.4191176070000004,13.77387476,0.3836024329,1,236,36,63,26,0,0,0,0,0,2,0,0,2,1,9,0,26
892830813bbffff,6.886956582000001,13.14299965,0.4445309455,1,118,15,63,7,0,0,0,1,0,2,1,0,1,0,5,0,10
892830813dbffff,11.100555575,16.067224404999997,0.5009517393,1,48,7,42,4,0,0,0,1,1,0,0,0,0,0,2,0,0
89283081037ffff,3.8615385685,12.723834305,0.42907078865,1,26,2,24,1,0,0,0,1,0,0,0,0,0,1,2,0,0
89283081053ffff,7.636363703,15.54173653,0.4945024929,1,88,24,24,18,0,0,0,0,0,4,0,1,0,0,3,0,28
892830811cfffff,5.392604317000001,11.55333989,0.3739416101,1,78,8,53,1,0,0,0,2,2,3,0,1,0,0,8,0,0
