Lon,Lat,NO_Med,NO2_Med,BC_Med,NO_Mean,NO2_Mean,BC_Mean,Speed_Med,Unique_Days,Unique_1Hz,AdjFac_NO,AdjFac_NO2,AdjFac_BC,Road_Type,Index_Hwy,Index_Domain,NO_SE,NO2_SE,BC_SE
-122.2017236,37.72660349,6.758620898,6.54413239,0.5451863949,26.14402097,10.93810895,0.6561612819,7.485166073,13,37,1.19047619,1,1.045454545,1,0,3,5.581507826,2.109851757,0.1235904489
-122.2016739,37.72683788,5.100000242,4.568850153,0.4744732266,16.58913266,11.44800386,0.8946342262,0,12,256,1.615384615,1.195652174,1.107843137,1,0,3,1.128840463,0.9099981082,0.09177792233
-122.2016035,37.72710238,3.67910451,4.470999956,0.2369465994,5.02437683,7.233824114,0.2287430983,0,12,147,1.119402985,1,0.9157894737,1,0,3,0.5187848104,0.3497460491,0.0354762389
-122.20153,37.72662421,8.69444425,8.458386302,0.4413906002,16.344527,9.787351461,0.6304340429,7.032454967,17,70,0.9069767442,0.9638554217,0.9743589744,1,0,3,2.325059513,0.7963454362,0.0956681941
-122.2014719,37.72689061,8.387096587,8.674534012,0.5454399681,18.56631638,10.80405503,0.4888911502,9.283149242,19,76,0.8734883721,0.9482758621,1,1,0,3,2.985273937,0.8513897839,0.1369147291
-122.2013981,37.72715442,8.863636166,8.608030805,0.4166536216,17.70197943,10.3713184,0.4837928145,11.49268818,18,65,0.84,0.9638554217,0.9743589744,1,0,3,1.958683419,0.7870600367,0.07556477261
-122.2013044,37.72741429,10.35625022,8.629553677,0.5998296047,23.77745646,12.06950157,0.7105889733,13.01029873,16,53,0.8888888889,0.9482758621,1,1,0,3,4.457586013,2.451918026,0.1067937232
-122.2011914,37.72766921,8.773923322,8.937423806,0.5667829164,19.29249403,12.84150744,0.8677966228,13.21093178,16,56,0.8387096774,1.032489509,0.9743589744,1,0,3,3.329773232,2.316469921,0.1775498933
-122.201113,37.72638363,10.04545509,11.57972648,0.3305971687,12.55373645,12.4532363,0.1982828547,6.934710503,13,86,0.8387096774,0.8977272727,0.8676470588,2,0,3,1.002967976,3.058692433,0.07055107772
-122.201061,37.72791892,8.831653019,8.946749926,0.5221768532,12.85192631,12.10091249,0.4761373129,14.29126549,16,52,0.84,1.032489509,1,1,0,3,2.481074884,2.004134738,0.1113476734
-122.2009256,37.72816697,6.499999965,9.124671439,0.5759532118,22.27049731,12.16598454,0.631235581,13.90543175,16,55,0.9375,1.101123596,0.9743589744,1,0,3,2.824500533,2.102939283,0.1095080008
-122.2008829,37.72629624,8.812257946,8.158960801,0.6162264916,8.866416004,10.95933686,0.8480788919,11.05541039,15,38,0.8387096774,0.9304347826,0.9523809524,1,0,3,2.310632393,1.98320352,0.1128547592
-122.2007868,37.72841386,6.709677738,8.571375045,0.3307529829,29.46601234,12.68039482,0.4322894656,12.29007626,16,62,0.84,0.9560656419,0.9743589744,1,0,3,1.356856769,0.7513446336,0.08577834808
-122.2007619,37.72636515,10.45528448,7.856011299,0.3661764453,10.2280272,10.65236639,0.2867950767,12.10487652,14,24,0.8393548387,0.9630339852,0.9633699634,1,0,3,2.4222215,2.214930627,0.2019480704
-122.2007338,37.72886073,13.59090912,8.94699955,0.732738432,17.58463238,12.76973574,0.6085002866,15.20440388,12,24,1.119402985,1,1,1,0,3,5.328657535,4.981598217,0.1624304119
-122.200648,37.72866075,5.032258108,8.743499994,0.3687964968,34.19072318,13.42439967,0.7944186289,10.59755421,16,67,0.84,0.9638554217,0.9743589744,1,0,3,1.223418935,0.8669813284,0.1496298758
-122.2006232,37.72624383,9.030487857,8.108947962,0.3020767347,11.5545439,10.96330994,0.2308192394,12.12802649,12,24,0.8387096774,0.8977272727,0.9523809524,1,0,3,3.574836563,3.124361577,0.153408122
-122.2005951,37.72910763,13.59090912,9.088000298,1.023457348,43.81561737,15.29082529,1.817907348,13.75624371,12,30,1.119402985,1.007142857,1,1,0,3,10.34481729,6.180444521,0.3273411067
-122.2005758,37.72617959,8.88888869,7.805738362,0.4782612777,8.706161767,9.977982153,0.5614201526,12.60388756,13,26,0.88875,1.152857143,0.9743589744,1,0,3,1.987923211,1.90361983,0.2293530129
-122.2005673,37.72599158,9.333333621,8.642137404,0.5856011978,10.34018103,11.53425237,0.630728697,9.434910297,11,23,1.19047619,0.9389312977,1,1,0,3,1.076165182,2.829952651,0.1069825415
-122.2005092,37.72890764,1.578947443,6.933571089,0.2332559581,13.6368955,8.609550661,0.2872889399,9.100521564,16,109,0.8393548387,0.9482758621,0.7419354839,1,0,3,0.9369533641,1.220336116,0.09623521981
-122.2004563,37.72935453,11.81818155,6.480000048,0.5969859903,26.14336494,13.10996688,0.8850963751,13.71508789,12,28,1.142857143,1.014285714,1,1,0,3,7.339626064,5.362212524,0.2676237785
-122.2003713,37.72915285,7.037347642,8.020295468,0.3294329049,26.7629063,10.83109751,0.4570562476,8.941043854,15,41,0.8387096774,0.9304347826,0.9871794872,1,0,3,3.429673566,0.697384406,0.1771133947
-122.2003704,37.72915452,2.519699932,4.988060926,0.1048362374,12.47825143,7.309369645,0.527832709,0.3446777463,16,107,1.7,0.8095238095,0.9473684211,1,0,3,0.9183740381,0.1366803405,0.0935382426
-122.200353,37.72591039,7.045454684,9.126000404,0.4000047893,10.20084694,12.58797244,0.3172234919,6.836966038,11,42,1.19047619,0.9222797927,1,2,0,3,0.7854298053,4.087465947,0.1131563548
-122.2003175,37.72960142,6.000000052,13.62862431,0.6537762284,15.852059,16.16043495,1.084242012,10.80590439,12,20,1.166666667,1.007142857,1,2,0,3,7.25294257,6.406131444,0.3503817953
-122.2002687,37.72606294,9.560975905,7.724884589,0.4602744586,10.5990845,10.38295355,0.4553629249,12.55501556,13,32,0.8734883721,1.12,0.9871794872,2,0,3,1.748187724,2.183689741,0.0853484115
-122.2002316,37.72940142,10.06451622,8.802000046,0.2631976144,68.925735,12.41204101,0.3765527254,0,15,261,1.777777778,1.195652174,1.045454545,1,0,3,3.295585113,0.3193954444,0.05541412926
-122.2001781,37.72984808,14.85714316,18.79257642,0.47574737,26.47502349,18.1862209,0.6468824777,0,12,155,1.142857143,0.9956331878,1.045454545,2,0,3,2.025464007,0.05766251115,0.05510680003
-122.2001394,37.72941102,9.482758569,12.09059128,0.7931859207,26.29817572,13.58101347,1.666666858,10.46379948,13,25,0.8510344828,0.9956331878,0.9743589744,2,0,3,3.251088948,2.87815898,0.2931395099
-122.2000921,37.72964805,16.48301938,13.69544824,0.6466880172,46.08174531,17.37564062,1.58703793,11.31777668,17,37,0.9069767442,1.19068323,1,2,0,3,4.977941914,1.739699625,0.2990970601
-122.2000893,37.72598848,8.272727528,8.13413187,0.4511885685,12.69313716,10.22954621,0.5175938115,12.26949883,13,38,0.84,0.9723602484,0.9743589744,2,0,3,1.643333015,1.823187537,0.09725485543
-122.2000824,37.72923581,7.548386772,14.25733294,0.576713974,11.76140187,13.90287561,0.6523929433,6.435699463,12,31,0.7608182533,0.8977272727,0.9743589744,1,0,3,1.008834359,3.356140824,0.1088763854
-122.2000472,37.72579159,4.794745544,6.61664879,0.1853747332,7.408310059,14.07258792,0.4087581951,4.578555107,11,65,1.19047619,1.014285714,1.045454545,2,0,3,0.6737294286,3.184039376,0.138614257
-122.2000403,37.73009533,13.60000065,18.41475138,0.8516787421,59.78652378,20.0737161,1.266777358,0,14,152,1.7,0.9638554217,1.104166667,1,0,3,0.8767552946,1.115692999,0.07379152428
-122.2000044,37.73015976,2.586206919,6.54176217,0.5661159797,5.65439186,11.45865472,0.657684003,0,12,100,0.8620689655,0.8095238095,1.045454545,1,0,3,0.689098925,0.2568083799,0.1111408181
-122.1999977,37.72916518,5.271390107,12.81302434,0.5825517518,8.600190991,14.53234974,0.3494789265,9.620110035,14,31,0.6829268293,0.9956331878,0.9871794872,2,0,3,1.285144633,4.05829079,0.2000137025
-122.1999808,37.72973597,17.72727233,17.27040009,0.4349611497,34.42132529,14.60182252,0.5774684164,4.689160585,20,86,0.8387096774,0.8977272727,0.6424242424,1,0,3,2.73389582,2.496915633,0.08017454078
-122.1999547,37.72989545,15.99999931,13.47600031,0.413295449,38.02226387,14.70228223,0.4444387273,7.112193823,21,113,1.777777778,1.5,1.333333333,1,0,3,1.574891629,0.3050048626,0.1047350138
-122.1999028,37.72947324,9.999999776,9.302367139,0.3415201353,15.17278514,9.915845006,0.2957537779,0,15,211,0.4827586207,0.5753216912,0.4318181818,1,0,3,0.6960743479,0.2163032434,0.03156195898
